,country_name,email,email_body,name_of_id_number,subject,prompt,sent
0,AFGHANISTAN,consulate@afghanistanembassy.org.uk,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Afghanistan, as a foreign investor (no residence in Afghanistan).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Afghanistan, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Tazkira-e-Namardari (National Identity Card). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a Tazkira-e-Namardari from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Tazkira-e-Namardari (National Identity Card),How should I get a Tazkira-e-Namardari (National Identity Card) in Afghanistan?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Afghanistan, but I want to get information on how to get an ID number for taxpayers in Afghanistan.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Afghanistan. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Afghanistan asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Afghanistan.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Afghanistan. Make sure to customize the information for Afghanistan. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Afghanistan: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Afghanistan?
Body:
```md
[FILL]
```
",True
1,ALBANIA,embassy.london@mfa.gov.al,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Albania, as a foreign investor (no residence in Albania).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Albania, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the TIN (Tax Identification Number). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a TIN from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",TIN (Tax Identification Number),How should I get a TIN (Tax Identification Number) in Albania?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Albania, but I want to get information on how to get an ID number for taxpayers in Albania.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Albania. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Albania asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Albania.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Albania. Make sure to customize the information for Albania. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Albania: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Albania?
Body:
```md
[FILL]
```
",True
2,ALGERIA,contact@embassyofalgeria.ie,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Algeria, as a foreign investor (no residence in Algeria).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Algeria, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Numéro d'Identification Fiscale (NIF). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a NIF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Numéro d'Identification Fiscale (NIF),How should I get a Numéro d'Identification Fiscale (NIF) in Algeria?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Algeria, but I want to get information on how to get an ID number for taxpayers in Algeria.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Algeria. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Algeria asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Algeria.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Algeria. Make sure to customize the information for Algeria. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Algeria: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Algeria?
Body:
```md
[FILL]
```
",True
3,ANDORRA,exteriors@govern.ad,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Andorra, as a foreign investor (no residence in Andorra).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Andorra, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Andorran Fiscal Number (Número de Identificació Fiscal d'Andorra). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a Andorran Fiscal Number from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Andorran Fiscal Number (Número de Identificació Fiscal d'Andorra),How should I get a Andorran Fiscal Number (Número de Identificació Fiscal d'Andorra) in Andorra?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Andorra, but I want to get information on how to get an ID number for taxpayers in Andorra.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Andorra. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Andorra asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Andorra.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Andorra. Make sure to customize the information for Andorra. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Andorra: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Andorra?
Body:
```md
[FILL]
```
",True
4,ANGOLA,embassy@angola.org.uk,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Angola, as a foreign investor (no residence in Angola).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Angola, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Número de Identificação Fiscal (NIF). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a NIF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Número de Identificação Fiscal (NIF),How should I get a Número de Identificação Fiscal (NIF) in Angola?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Angola, but I want to get information on how to get an ID number for taxpayers in Angola.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Angola. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Angola asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Angola.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Angola. Make sure to customize the information for Angola. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Angola: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Angola?
Body:
```md
[FILL]
```
",True
5,ARGENTINA,eirla@mrecic.gov.ar,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Argentina, as a foreign investor (no residence in Argentina).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Argentina, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CUIT (Código Único de Identificación Tributaria). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CUIT from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",CUIT (Código Único de Identificación Tributaria),How should I get a CUIT (Código Único de Identificación Tributaria) in Argentina?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Argentina, but I want to get information on how to get an ID number for taxpayers in Argentina.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Argentina. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Argentina asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Argentina.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Argentina. Make sure to customize the information for Argentina. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Argentina: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Argentina?
Body:
```md
[FILL]
```
",True
6,ARMENIA,armembassyuk@mfa.am,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Armenia, as a foreign investor (no residence in Armenia).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Armenia, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the TIN (Taxpayer Identification Number). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a TIN from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",TIN (Taxpayer Identification Number),How should I get a TIN (Taxpayer Identification Number) in Armenia?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Armenia, but I want to get information on how to get an ID number for taxpayers in Armenia.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Armenia. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Armenia asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Armenia.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Armenia. Make sure to customize the information for Armenia. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Armenia: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Armenia?
Body:
```md
[FILL]
```
",True
7,AUSTRALIA,austremb.dublin@dfat.gov.au,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Australia, as a foreign investor (no residence in Australia).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Australia, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Tax File Number (TFN). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a TFN from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Tax File Number (TFN),How should I get a Tax File Number (TFN) in Australia?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Australia, but I want to get information on how to get an ID number for taxpayers in Australia.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Australia. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Australia asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Australia.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Australia. Make sure to customize the information for Australia. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Australia: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Australia?
Body:
```md
[FILL]
```
",True
8,AUSTRIA,dublin-ob@bmeia.gv.at,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Austria, as a foreign investor (no residence in Austria).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Austria, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the Steuer-Identifikationsnummer (SIN). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a SIN from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Steuer-Identifikationsnummer (SIN),How should I get a Steuer-Identifikationsnummer (SIN) in Austria?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Austria, but I want to get information on how to get an ID number for taxpayers in Austria.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Austria. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Austria asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Austria.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Austria. Make sure to customize the information for Austria. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Austria: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Austria?
Body:
```md
[FILL]
```
",True
9,AZERBAIJAN,London@mission.mfa.gov.az,"Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Azerbaijan, as a foreign investor (no residence in Azerbaijan).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Azerbaijan, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is either the Taxpayer Identification Number (TIN) or Individual Taxpayer Number (ITN). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a TIN/ITN from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.",Taxpayer Identification Number (TIN) or Individual Taxpayer Number (ITN),How should I get a Taxpayer Identification Number (TIN) or Individual Taxpayer Number (ITN) in Azerbaijan?,"# Context
I am a resident in Ireland with Spanish citizenship.

I am looking forward to invest in Azerbaijan, but I want to get information on how to get an ID number for taxpayers in Azerbaijan.

For example, in Ireland, the ID number for taxpayers is the Personal Public Service (PPS) Number. I would like to get something like this, but for Azerbaijan. I have searched online but I couldn't find anything on the country.

Write an email to the embassy of Azerbaijan asking if they have any more information on how I should get this number. I am a citizen of Spain with permanent residence in Ireland. I am not a resident of Azerbaijan.

To write the email, first write some background information on the country. You should then user this information to customize the email to the embassy.

# Example
For example, for Brazil, you should write:

Background information:
Name of the ID number for taxpayers in Brazil: CPF (Cadastro de Pessoas Físicas)

Customized email to the embassy:

Subject: How should I get a CPF (Cadastro de Pessoas Físicas) in Brazil?
Body:
```md
Dear Sir/Madam,

I hope this email finds you well.

I am a Spanish citizen (Spanish passport) with permanent residence in Ireland. I am looking forward to investing in Brazil, as a foreign investor (no residence in Brazil).

In order to do that, I am trying to understand the process of obtaining the number that identifies taxpayers in Brazil, to be able to declare the relevant information to the tax authorities.

I have been told that the number I should get is the CPF (Cadastro de Pessoas Físicas). Feel free to correct me if I am wrong.

I have searched online, but I couldn't find any information on how to get a CPF from abroad. This is why I am reaching out to you for guidance. If you could provide me with information on the process or direct me to the relevant authorities, I would greatly appreciate it.

Thank you very much for your attention to this matter. I look forward to your response and any help you can provide.
```

# Task
Now, write the email to the embassy of Azerbaijan. Make sure to customize the information for Azerbaijan. Follow the template below. Make sure to replace the placeholders ([FILL]) with the correct information.

Background information:
Name of the ID number for taxpayers in Azerbaijan: [FILL]

Customized email to the embassy:

Subject: How should I get a [FILL] in Azerbaijan?
Body:
```md
[FILL]
```
",True
